"time","value"
0,23.11
1,24.2
2,25.37
3,23.86
4,23.03
5,21.57
6,20.63
7,20.15
8,19.67
9,20.03
10,20.02
11,21.8
12,24.19
13,25.28
14,25.6
15,25.37
16,24.79
17,24.69
18,23.86
19,22.32
20,21.44
21,21.77
22,22.33
23,22.89
24,24.52
25,26.21
26,26.37
27,24.73
28,23.71
29,22.34
30,20.89
31,20.02
32,19.63
33,20.4
34,20.77
35,22.39
36,24.15
37,26.34
38,27.36
39,27.03
40,25.47
41,23.49
42,22.2
43,21.45
44,21.25
45,20.95
46,21.6
47,22.44
48,23.02
49,25.0
50,25.33
51,22.97
52,21.73
53,20.77
54,19.52
55,19.33
56,18.95
57,19.11
58,20.27
59,21.3
60,23.75
61,24.82
62,25.14
63,24.22
64,22.16
65,21.2
66,20.46
67,19.63
68,19.24
69,19.16
70,19.84
71,21.19
72,23.24
73,24.71
74,25.9
75,24.66
76,23.14
77,22.04
78,21.47
79,20.55
80,19.89
81,19.69
82,20.57
83,21.58
84,23.13
85,26.3
86,27.63
87,27.15
88,26.72
89,25.04
90,23.83
91,22.34
92,21.8
93,21.8
94,22.39
95,23.69
96,24.89
97,26.55
98,27.09
99,26.37
100,24.71
101,23.23
102,22.31
103,20.72
104,20.62
105,21.05
106,21.52
107,22.5
108,23.97
109,25.9
110,26.94
111,25.84
112,24.23
113,22.57
114,21.5
115,20.15
116,20.23
117,20.86
118,21.88
119,22.55
120,24.4
121,25.59
122,26.01
123,24.66
124,23.53
125,21.83
126,20.73
127,20.1
128,20.56
129,20.27
130,20.93
131,22.74
132,24.58
133,26.66
134,25.95
135,25.17
136,23.6
137,22.36
138,20.52
139,19.97
140,19.7
141,20.07
142,21.09
143,22.11
144,24.02
145,25.35
146,24.47
147,23.43
148,23.03
149,21.81
150,20.6
151,20.17
152,20.02
153,20.14
154,20.99
155,21.82
156,23.81
157,25.36
158,26.02
159,24.67
160,23.97
161,22.41
162,21.8
163,21.31
164,21.0
165,21.13
166,21.64
167,22.55
168,24.15
169,25.08
170,25.3
171,24.61
172,21.93
173,21.44
174,20.25
175,19.48
176,19.67
177,19.79
178,20.88
179,21.83
180,24.22
181,26.17
182,26.71
183,27.01
184,26.09
185,24.6
186,23.26
187,22.54
188,21.26
189,21.57
190,22.29
191,23.35
192,25.15
193,25.88
194,25.35
195,24.26
196,22.92
197,21.8
198,20.85
199,20.17
200,20.04
201,20.51
202,21.03
203,22.25
204,23.66
205,25.54
206,25.55
207,24.98
208,23.77
209,22.04
210,21.1
211,19.84
212,19.08
213,19.47
214,20.2
215,21.28
216,23.19
217,24.88
218,25.11
219,23.97
220,22.44
221,21.7
222,21.25
223,20.97
224,21.23
225,21.12
226,21.68
227,23.2
228,24.67
229,25.56
230,27.09
231,26.66
232,26.07
233,24.39
234,22.47
235,21.06
236,20.88
237,21.74
238,22.47
239,23.6
240,25.02
241,25.76
242,25.53
243,24.76
244,22.94
245,21.27
246,19.69
247,19.27
248,19.5
249,20.16
250,20.61
251,21.77
252,23.33
253,24.58
254,25.24
255,24.95
256,23.29
257,21.6
258,21.01
259,19.97
260,19.74
261,19.88
262,20.94
263,21.99
264,24.51
265,26.66
266,27.09
267,26.25
268,25.47
269,25.01
270,24.11
271,23.42
272,22.12
273,22.58
274,23.32
275,24.89
276,26.03
277,26.48
278,26.27
279,24.87
280,23.44
281,21.76
282,20.84
283,19.47
284,19.49
285,19.8
286,20.71
287,21.74
288,23.29
289,24.87
290,25.69
291,25.28
292,24.35
293,22.48
294,21.58
295,20.73
296,20.15
297,19.88
298,20.68
299,21.41
300,23.55
301,24.95
302,26.06
303,25.53
304,23.71
305,21.84
306,21.05
307,19.97
308,19.14
309,19.17
310,19.44
311,21.05
312,23.51
313,25.36
314,25.88
315,25.72
316,25.11
317,24.46
318,23.3
319,21.91
320,21.56
321,21.69
322,22.14
323,23.29
324,24.93
325,25.79
326,26.13
327,25.29
328,23.88
329,22.7
330,21.63
331,20.25
332,19.82
333,20.61
334,21.29
335,22.47
336,24.32
337,25.77
338,25.39
339,24.73
340,23.15
341,21.89
342,21.01
343,19.66
344,19.98
345,20.22
346,21.62
347,22.94
348,24.71
349,25.6
350,25.93
351,25.58
352,24.52
353,23.28
354,21.79
355,21.05
356,21.15
357,21.43
358,21.95
359,22.97
360,24.35
361,25.73
362,26.46
363,25.71
364,24.46
365,22.88
366,21.26
367,20.57
368,20.45
369,20.43
370,21.23
371,22.34
372,22.98
373,24.9
374,25.94
375,24.89
376,23.9
377,22.57
378,21.1
379,20.03
380,20.09
381,20.58
